stageID,orderIndex,componentType,advancementTrigger,durationSeconds,componentConfig,guidance
27,1,ESVP_SELECTOR,ALL_RESPONDED,0,"{""columns"": [{""id"": ""explorer"", ""title"": ""Explorer"", ""emoji"": ""🔭"", ""color"": ""#10B981""}, {""id"": ""shopper"", ""title"": ""Shopper"", ""emoji"": ""🛍️"", ""color"": ""#3B82F6""}, {""id"": ""vacationer"", ""title"": ""Vacationer"", ""emoji"": ""🏖️"", ""color"": ""#F59E0B""}, {""id"": ""prisoner"", ""title"": ""Prisoner"", ""emoji"": ""⛓️"", ""color"": ""#EF4444""}], ""capabilities"": {""allowInput"": true, ""showContent"": false}}","Welcome to the ESVP Check-in! This helps us understand everyone's mindset before we start.

Choose ONE category that best describes how you feel about being here today:
• 🔭 Explorer — Excited to discover and learn
• 🛍️ Shopper — Looking for useful takeaways
• 🏖️ Vacationer — Here for a break from regular work
• ⛓️ Prisoner — Feels like you had no choice but to attend

Add one note to your chosen column. Your choice is anonymous — be honest!"
27,2,ESVP_SELECTOR,FACILITATOR_CLICK,0,"{""columns"": [{""id"": ""explorer"", ""title"": ""Explorer"", ""emoji"": ""🔭"", ""color"": ""#10B981""}, {""id"": ""shopper"", ""title"": ""Shopper"", ""emoji"": ""🛍️"", ""color"": ""#3B82F6""}, {""id"": ""vacationer"", ""title"": ""Vacationer"", ""emoji"": ""🏖️"", ""color"": ""#F59E0B""}, {""id"": ""prisoner"", ""title"": ""Prisoner"", ""emoji"": ""⛓️"", ""color"": ""#EF4444""}], ""capabilities"": {""allowInput"": false, ""showContent"": true}}","Here's how the team is feeling today! Look at the distribution across the four categories.

If you see Prisoners: acknowledge that and make the retro as valuable as possible for them.
If you see mostly Explorers and Shoppers: great energy — let's make the most of it!

This awareness helps us facilitate the session appropriately. Let's move into the retrospective!"
28,1,MULTI_COLUMN_BOARD,TIMER_EXPIRES,420,"{""columns"": [{""title"": ""Mad"", ""emoji"": ""😠"", ""color"": ""#EF4444"", ""placeholder"": ""What frustrated or angered you?""}, {""title"": ""Sad"", ""emoji"": ""😢"", ""color"": ""#3B82F6"", ""placeholder"": ""What disappointed or discouraged you?""}, {""title"": ""Glad"", ""emoji"": ""😊"", ""color"": ""#10B981"", ""placeholder"": ""What made you happy or satisfied?""}], ""capabilities"": {""allowInput"": true, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": false, ""numberOfVotes"": 5, ""showTimer"": true, ""showVotes"": false, ""showAuthor"": false, ""maxLength"": 280}}","Add sticky notes to the Mad, Sad, and Glad columns. Write specific events and experiences from the sprint.

• 😠 Mad — things that frustrated, angered, or annoyed you
• 😢 Sad — things that disappointed, discouraged, or let you down
• 😊 Glad — things that made you happy, satisfied, or pleased

Be specific: instead of 'communication was bad', write 'daily standup ran 45 minutes again'. One event per note. You have 7 minutes. Notes are private until revealed."
28,2,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,0,"{""columns"": [{""title"": ""Mad"", ""emoji"": ""😠"", ""color"": ""#EF4444"", ""placeholder"": """"}, {""title"": ""Sad"", ""emoji"": ""😢"", ""color"": ""#3B82F6"", ""placeholder"": """"}, {""title"": ""Glad"", ""emoji"": ""😊"", ""color"": ""#10B981"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": false, ""allowMerging"": true, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 5, ""showTimer"": false, ""showVotes"": false, ""showAuthor"": true, ""maxLength"": 0}}","All notes are now visible! Take a moment to read through what the team shared.

Cluster similar items together by dragging them. Look for patterns and themes emerging across the columns. What resonates? What surprises you? All feelings are valid — we're observing, not judging.

When clustering is done, click Next to move to voting."
28,3,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,0,"{""columns"": [{""title"": ""Mad"", ""emoji"": ""😠"", ""color"": ""#EF4444"", ""placeholder"": """"}, {""title"": ""Sad"", ""emoji"": ""😢"", ""color"": ""#3B82F6"", ""placeholder"": """"}, {""title"": ""Glad"", ""emoji"": ""😊"", ""color"": ""#10B981"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": true, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 5, ""showTimer"": false, ""showVotes"": true, ""showAuthor"": true, ""maxLength"": 0}}","Vote on the topics most important to discuss. You have 5 votes — distribute them across items that matter most to you. You can stack votes on a single item.

Focus your votes on items that, if addressed, would have the biggest positive impact on the team."
28,4,MULTI_COLUMN_BOARD,FACILITATOR_CLICK,0,"{""columns"": [{""title"": ""Mad"", ""emoji"": ""😠"", ""color"": ""#EF4444"", ""placeholder"": """"}, {""title"": ""Sad"", ""emoji"": ""😢"", ""color"": ""#3B82F6"", ""placeholder"": """"}, {""title"": ""Glad"", ""emoji"": ""😊"", ""color"": ""#10B981"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 5, ""showTimer"": false, ""showVotes"": true, ""showAuthor"": true, ""maxLength"": 0}}","Here are the top voted items. Let's discuss the most important themes.

What patterns do you see? What are the biggest clusters? Which emotion has the most items? These emotions are real data about our team's experience.

We're not jumping to solutions yet — we're building shared understanding. This awareness will guide us as we move into generating insights."
28,5,MULTI_COLUMN_BOARD,AUTO,0,"{""columns"": [{""title"": ""Mad"", ""emoji"": ""😠"", ""color"": ""#EF4444"", ""placeholder"": """"}, {""title"": ""Sad"", ""emoji"": ""😢"", ""color"": ""#3B82F6"", ""placeholder"": """"}, {""title"": ""Glad"", ""emoji"": ""😊"", ""color"": ""#10B981"", ""placeholder"": """"}], ""capabilities"": {""allowInput"": false, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": true, ""numberOfVotes"": 5, ""showTimer"": false, ""showVotes"": true, ""showAuthor"": false, ""maxLength"": 0}}","We now have a clear picture of our emotional landscape this sprint. These patterns will guide us as we move into the Perfection Game — where we'll rate the sprint and identify what would make it truly excellent."
19,1,RATING_SCALE,ALL_RESPONDED,0,"{""min"": 1, ""max"": 10, ""step"": 1, ""labels"": [""Needs major improvement"", ""Perfect!""], ""allowComment"": true, ""commentMaxLength"": 280, ""capabilities"": {""allowInput"": true, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": false, ""numberOfVotes"": 3, ""showTimer"": false, ""showVotes"": false, ""showAuthor"": false, ""maxLength"": 280}}","Rate the sprint on a scale of 1 to 10.

1 = Needs major improvement | 10 = Perfect!

Add an optional comment to explain your rating. What specific things influenced your score? Be honest — this is anonymous and helps us understand where we are as a team."
19,2,HISTOGRAM_CHART,FACILITATOR_CLICK,0,"{""min"": 1, ""max"": 10, ""showComments"": true}","Here's the rating distribution! Look at where scores clustered.

What patterns do you notice? Are we aligned or spread out? What does the average tell us? What do the comments reveal?

Take a few moments to discuss what you see before we move into brainstorming improvements."
19,3,MULTI_COLUMN_BOARD,TIMER_EXPIRES,300,"{""columns"": [{""title"": ""What would make it a 10?"", ""placeholder"": ""What specific change would make the sprint perfect?""}], ""capabilities"": {""allowInput"": true, ""allowVoting"": false, ""allowMerging"": false, ""allowDelete"": false, ""showContent"": false, ""numberOfVotes"": 3, ""showTimer"": true, ""showVotes"": false, ""showAuthor"": false, ""maxLength"": 280}}","Now brainstorm: what specific changes would make the next sprint a 10?

Think about what's missing, what's blocking you, or what would make the biggest difference. Be concrete — not 'better communication' but 'daily 15-min sync with design team'. You have 5 minutes. Notes are private until revealed."
